"","ID","name","latitude","longitude","prov"
"1",2,"Leptasthenura setaria",-27.924017,-49.848503,"gbif"
"2",3,"Leptasthenura setaria",-27.9514,-49.9345,"gbif"
"3",6,"Leptasthenura setaria",-29.47856,-50.70394,"gbif"
"4",7,"Leptasthenura setaria",-23.78558,-46.940247,"gbif"
"5",10,"Leptasthenura setaria",-28.816475,-51.137276,"gbif"
"6",11,"Leptasthenura setaria",-22.73724,-45.58983,"gbif"
"7",14,"Leptasthenura setaria",-22.691557,-45.50286,"gbif"
"8",15,"Leptasthenura setaria",-29.458334,-50.581112,"gbif"
"9",17,"Leptasthenura setaria",-24.362038,-49.60817,"gbif"
"10",18,"Leptasthenura setaria",-25.91816,-51.597378,"gbif"
"11",19,"Leptasthenura setaria",-22.703138,-45.47843,"gbif"
"12",21,"Leptasthenura setaria",-22.373522,-44.756813,"gbif"
"13",24,"Leptasthenura setaria",-26.396843,-51.899315,"gbif"
"14",25,"Leptasthenura setaria",-22.703331,-45.586178,"gbif"
"15",27,"Leptasthenura setaria",-28.097593,-49.645866,"gbif"
"16",28,"Leptasthenura setaria",-26.632334,-54.102165,"gbif"
"17",31,"Leptasthenura setaria",-22.759525,-45.550858,"gbif"
"18",33,"Leptasthenura setaria",-24.26821,-48.412758,"gbif"
"19",35,"Leptasthenura setaria",-25.436083,-49.219604,"gbif"
"20",37,"Leptasthenura setaria",-24.31316,-49.197235,"gbif"
"21",39,"Leptasthenura setaria",-28.619137,-49.801876,"gbif"
"22",40,"Leptasthenura setaria",-29.423882,-50.386627,"gbif"
"23",42,"Leptasthenura setaria",-23.162851,-44.958588,"gbif"
"24",43,"Leptasthenura setaria",-25.105652,-51.807888,"gbif"
"25",44,"Leptasthenura setaria",-25.904398,-51.598354,"gbif"
"26",45,"Leptasthenura setaria",-26.390871,-52.406116,"gbif"
"27",48,"Leptasthenura setaria",-26.520718,-53.981667,"gbif"
"28",51,"Leptasthenura setaria",-22.46043,-45.39897,"gbif"
"29",52,"Leptasthenura setaria",-22.717638,-45.59096,"gbif"
"30",53,"Leptasthenura setaria",-27.565262,-51.17723,"gbif"
"31",55,"Leptasthenura setaria",-24.298813,-49.136868,"gbif"
"32",56,"Leptasthenura setaria",-28.04365,-49.38658,"gbif"
"33",57,"Leptasthenura setaria",-28.197609,-51.728344,"gbif"
"34",58,"Leptasthenura setaria",-25.45521,-49.806454,"gbif"
"35",60,"Leptasthenura setaria",-27.551168,-51.20123,"gbif"
"36",61,"Leptasthenura setaria",-25.378326,-49.284336,"gbif"
"37",67,"Leptasthenura setaria",-25.376629,-49.739758,"gbif"
"38",69,"Leptasthenura setaria",-22.740454,-45.83217,"gbif"
"39",73,"Leptasthenura setaria",-23.155016,-44.92196,"gbif"
"40",74,"Leptasthenura setaria",-26.015228,-53.788525,"gbif"
"41",75,"Leptasthenura setaria",-29.05814,-50.140476,"gbif"
"42",78,"Leptasthenura setaria",-22.45377,-45.389397,"gbif"
"43",80,"Leptasthenura setaria",-22.811949,-45.64888,"gbif"
"44",83,"Leptasthenura setaria",-22.72287,-45.607155,"gbif"
"45",84,"Leptasthenura setaria",-22.325617,-44.575264,"gbif"
"46",89,"Leptasthenura setaria",-29.139172,-51.157074,"gbif"
"47",90,"Leptasthenura setaria",-26.645142,-49.356976,"gbif"
"48",92,"Leptasthenura setaria",-22.6797,-45.642,"gbif"
"49",98,"Leptasthenura setaria",-22.36484,-44.724613,"gbif"
"50",99,"Leptasthenura setaria",-27.552824,-51.206955,"gbif"
"51",102,"Leptasthenura setaria",-25.561188,-50.21143,"gbif"
"52",105,"Leptasthenura setaria",-28.340153,-49.625885,"gbif"
"53",107,"Leptasthenura setaria",-28.81961,-51.13441,"gbif"
"54",108,"Leptasthenura setaria",-29.159657,-50.078945,"gbif"
"55",111,"Leptasthenura setaria",-26.624443,-54.10814,"gbif"
"56",112,"Leptasthenura setaria",-25.371908,-49.291664,"gbif"
"57",113,"Leptasthenura setaria",-27.552454,-51.21004,"gbif"
"58",114,"Leptasthenura setaria",-27.563196,-51.171535,"gbif"
"59",116,"Leptasthenura setaria",-22.543377,-45.216755,"gbif"
"60",117,"Leptasthenura setaria",-26.621387,-54.10459,"gbif"
"61",118,"Leptasthenura setaria",-22.689444,-45.481945,"gbif"
"62",119,"Leptasthenura setaria",-27.8543,-49.457475,"gbif"
"63",120,"Leptasthenura setaria",-25.099901,-48.811634,"gbif"
"64",126,"Leptasthenura setaria",-26.628918,-54.100838,"gbif"
"65",128,"Leptasthenura setaria",-25.482353,-52.198215,"gbif"
"66",130,"Leptasthenura setaria",-22.693571,-45.490643,"gbif"
"67",132,"Leptasthenura setaria",-22.36607,-44.746155,"gbif"
"68",133,"Leptasthenura setaria",-29.313206,-50.85219,"gbif"
"69",136,"Leptasthenura setaria",-29.132784,-51.202457,"gbif"
"70",139,"Leptasthenura setaria",-28.111977,-49.89887,"gbif"
"71",140,"Leptasthenura setaria",-26.639969,-54.126266,"gbif"
"72",141,"Leptasthenura setaria",-28.132587,-49.87824,"gbif"
"73",143,"Leptasthenura setaria",-28.110588,-49.897114,"gbif"
"74",145,"Leptasthenura setaria",-28.117107,-49.901657,"gbif"
"75",151,"Leptasthenura setaria",-26.607191,-54.078655,"gbif"
"76",153,"Leptasthenura setaria",-24.320175,-50.701153,"gbif"
"77",156,"Leptasthenura setaria",-28.11333,-49.900803,"gbif"
"78",158,"Leptasthenura setaria",-22.731205,-45.5957,"gbif"
"79",162,"Leptasthenura setaria",-23.156645,-44.92479,"gbif"
"80",165,"Leptasthenura setaria",-26.637999,-54.12498,"gbif"
"81",170,"Leptasthenura setaria",-26.607634,-54.073753,"gbif"
"82",173,"Leptasthenura setaria",-23.058851,-44.979866,"gbif"
"83",184,"Leptasthenura setaria",-24.102978,-52.315624,"gbif"
"84",185,"Leptasthenura setaria",-24.26784,-48.40946,"gbif"
"85",186,"Leptasthenura setaria",-26.62862,-54.124992,"gbif"
"86",192,"Leptasthenura setaria",-27.841124,-49.126377,"gbif"
"87",193,"Leptasthenura setaria",-25.402372,-49.30423,"gbif"
"88",200,"Leptasthenura setaria",-26.245352,-49.369514,"gbif"
"89",203,"Leptasthenura setaria",-28.291113,-50.653904,"gbif"
"90",205,"Leptasthenura setaria",-22.720968,-45.57992,"gbif"
"91",207,"Leptasthenura setaria",-27.558115,-50.23048,"gbif"
"92",209,"Leptasthenura setaria",-22.659224,-45.854992,"gbif"
"93",213,"Leptasthenura setaria",-25.27291,-49.286522,"gbif"
"94",214,"Leptasthenura setaria",-27.043718,-54.162315,"gbif"
"95",215,"Leptasthenura setaria",-29.272572,-51.55852,"gbif"
"96",221,"Leptasthenura setaria",-22.664314,-44.592968,"gbif"
"97",223,"Leptasthenura setaria",-22.665842,-44.59375,"gbif"
"98",228,"Leptasthenura setaria",-25.3433,-49.219395,"gbif"
"99",230,"Leptasthenura setaria",-26.245375,-49.369537,"gbif"
"100",231,"Leptasthenura setaria",-28.173134,-50.46068,"gbif"
