"","ID","name","latitude","longitude","prov"
"1",1,"Leptasthenura setaria (Temminck, 1824)",-25.475899,-49.364237,"gbif"
"2",2,"Leptasthenura setaria (Temminck, 1824)",-27.924017,-49.848503,"gbif"
"3",3,"Leptasthenura setaria (Temminck, 1824)",-27.9514,-49.9345,"gbif"
"4",4,"Leptasthenura setaria (Temminck, 1824)",-27.9514,-49.9345,"gbif"
"5",5,"Leptasthenura setaria (Temminck, 1824)",-27.9514,-49.9345,"gbif"
"6",6,"Leptasthenura setaria (Temminck, 1824)",-29.47856,-50.70394,"gbif"
"7",7,"Leptasthenura setaria (Temminck, 1824)",-23.78558,-46.940247,"gbif"
"8",8,"Leptasthenura setaria (Temminck, 1824)",-23.78558,-46.940247,"gbif"
"9",9,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"10",10,"Leptasthenura setaria (Temminck, 1824)",-28.816475,-51.137276,"gbif"
"11",11,"Leptasthenura setaria (Temminck, 1824)",-22.73724,-45.58983,"gbif"
"12",12,"Leptasthenura setaria (Temminck, 1824)",-22.73724,-45.58983,"gbif"
"13",13,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"14",14,"Leptasthenura setaria (Temminck, 1824)",-22.691557,-45.50286,"gbif"
"15",15,"Leptasthenura setaria (Temminck, 1824)",-29.458334,-50.581112,"gbif"
"16",16,"Leptasthenura setaria (Temminck, 1824)",-22.73724,-45.58983,"gbif"
"17",17,"Leptasthenura setaria (Temminck, 1824)",-24.362038,-49.60817,"gbif"
"18",18,"Leptasthenura setaria (Temminck, 1824)",-25.91816,-51.597378,"gbif"
"19",19,"Leptasthenura setaria (Temminck, 1824)",-22.703138,-45.47843,"gbif"
"20",20,"Leptasthenura setaria (Temminck, 1824)",-29.39975,-52.27403,"gbif"
"21",21,"Leptasthenura setaria (Temminck, 1824)",-22.373522,-44.756813,"gbif"
"22",22,"Leptasthenura setaria (Temminck, 1824)",-29.458334,-50.581112,"gbif"
"23",23,"Leptasthenura setaria (Temminck, 1824)",-22.373522,-44.756813,"gbif"
"24",24,"Leptasthenura setaria (Temminck, 1824)",-26.396843,-51.899315,"gbif"
"25",25,"Leptasthenura setaria (Temminck, 1824)",-22.703331,-45.586178,"gbif"
"26",26,"Leptasthenura setaria (Temminck, 1824)",-22.703138,-45.47843,"gbif"
"27",27,"Leptasthenura setaria (Temminck, 1824)",-28.097593,-49.645866,"gbif"
"28",28,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"29",29,"Leptasthenura setaria (Temminck, 1824)",-22.703138,-45.47843,"gbif"
"30",30,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"31",31,"Leptasthenura setaria (Temminck, 1824)",-22.759525,-45.550858,"gbif"
"32",32,"Leptasthenura setaria (Temminck, 1824)",-25.91816,-51.597378,"gbif"
"33",33,"Leptasthenura setaria (Temminck, 1824)",-24.26821,-48.412758,"gbif"
