"","ID","longitude","latitude"
"1",2,-49.848503,-27.924017
"2",3,-49.9345,-27.9514
"3",6,-50.70394,-29.47856
"4",7,-46.940247,-23.78558
"5",10,-51.137276,-28.816475
"6",11,-45.58983,-22.73724
"7",14,-45.50286,-22.691557
"8",15,-50.581112,-29.458334
"9",17,-49.60817,-24.362038
"10",18,-51.597378,-25.91816
"11",21,-44.756813,-22.373522
"12",24,-51.899315,-26.396843
"13",27,-49.645866,-28.097593
"14",28,-54.102165,-26.632334
"15",31,-45.550858,-22.759525
"16",33,-48.412758,-24.26821
"17",35,-49.219604,-25.436083
"18",37,-49.197235,-24.31316
"19",39,-49.801876,-28.619137
"20",40,-50.386627,-29.423882
"21",42,-44.958588,-23.162851
"22",43,-51.807888,-25.105652
"23",44,-51.598354,-25.904398
"24",45,-52.406116,-26.390871
"25",48,-53.981667,-26.520718
"26",51,-45.39897,-22.46043
"27",53,-51.17723,-27.565262
"28",55,-49.136868,-24.298813
"29",56,-49.38658,-28.04365
"30",57,-51.728344,-28.197609
"31",58,-49.806454,-25.45521
"32",61,-49.284336,-25.378326
"33",67,-49.739758,-25.376629
"34",69,-45.83217,-22.740454
"35",73,-44.92196,-23.155016
"36",74,-53.788525,-26.015228
"37",75,-50.140476,-29.05814
"38",78,-45.389397,-22.45377
"39",80,-45.64888,-22.811949
"40",84,-44.575264,-22.325617
"41",89,-51.157074,-29.139172
"42",90,-49.356976,-26.645142
"43",98,-44.724613,-22.36484
"44",102,-50.21143,-25.561188
"45",108,-50.078945,-29.159657
"46",111,-54.10814,-26.624443
"47",112,-49.291664,-25.371908
"48",116,-45.216755,-22.543377
"49",119,-49.457475,-27.8543
"50",120,-48.811634,-25.099901
"51",128,-52.198215,-25.482353
"52",133,-50.85219,-29.313206
"53",139,-49.89887,-28.111977
"54",141,-49.87824,-28.132587
"55",153,-50.701153,-24.320175
"56",173,-44.979866,-23.058851
"57",184,-52.315624,-24.102978
"58",192,-49.126377,-27.841124
"59",193,-49.30423,-25.402372
"60",200,-49.369514,-26.245352
"61",203,-50.653904,-28.291113
"62",207,-50.23048,-27.558115
"63",209,-45.854992,-22.659224
"64",214,-54.162315,-27.043718
"65",215,-51.55852,-29.272572
"66",221,-44.592968,-22.664314
"67",228,-49.219395,-25.3433
"68",231,-50.46068,-28.173134
"69",232,-44.973316,-23.182808
"70",238,-52.031147,-26.22401
"71",239,-49.370393,-25.522033
"72",247,-50.290108,-26.233564
"73",251,-49.286407,-26.282742
"74",253,-49.832825,-28.011583
"75",259,-50.42492,-24.91047
"76",274,-51.606956,-26.536896
"77",284,-54.2171,-26.86841
"78",288,-45.20191,-23.296982
"79",290,-52.1733,-25.940033
"80",293,-49.950207,-27.791883
"81",297,-50.50345,-29.319885
"82",299,-49.89256,-26.173517
"83",312,-50.60438,-25.419828
"84",315,-45.023266,-23.238897
"85",337,-51.08037,-29.518175
"86",344,-52.019766,-26.351257
"87",345,-49.894414,-27.903427
"88",346,-55.00563,-27.543207
"89",350,-49.37952,-25.474195
"90",355,-44.76176,-22.77325
"91",358,-45.282764,-22.558086
"92",359,-55.051765,-27.477352
"93",363,-47.993073,-24.057072
"94",367,-51.17026,-26.07017
"95",370,-49.152214,-27.671846
"96",371,-49.66119,-26.566065
"97",373,-50.99939,-29.556591
"98",383,-49.64187,-26.617437
"99",391,-52.63026,-29.328028
"100",392,-50.399124,-24.956633
"101",404,-45.605568,-22.77668
"102",407,-50.61302,-29.353014
"103",413,-51.90481,-28.223793
"104",416,-51.147106,-29.304724
"105",423,-49.45227,-28.039925
"106",430,-45.77329,-22.830917
"107",451,-54.79793,-26.728085
"108",455,-44.660946,-22.016603
"109",473,-44.79607,-22.352962
"110",477,-50.996784,-23.722208
"111",478,-47.08703,-23.792742
"112",480,-50.329105,-25.62756
"113",481,-45.41422,-22.717943
"114",483,-44.839886,-23.167177
"115",485,-51.49459,-26.637802
"116",502,-52.568893,-26.462187
"117",503,-54.853867,-27.030209
"118",506,-44.816353,-23.142773
"119",508,-50.37838,-27.086054
"120",511,-51.46792,-25.445791
"121",514,-52.767628,-27.112291
"122",519,-50.635113,-26.022093
"123",521,-49.0947,-27.67118
"124",525,-44.946648,-22.386673
"125",527,-50.882637,-29.384266
"126",543,-44.6149,-22.736116
"127",544,-49.486237,-27.978527
"128",547,-54.503326,-25.81237
"129",548,-45.357586,-22.61571
"130",552,-50.767063,-24.884167
"131",569,-49.66051,-25.47342
"132",573,-45.83528,-22.72296
"133",578,-49.25334,-25.569972
"134",587,-52.362442,-24.053396
"135",588,-52.32045,-28.33935
"136",591,-49.92875,-25.506924
"137",595,-44.282085,-22.170887
"138",601,-44.73,-22.33
"139",603,-47.001102,-23.579622
"140",609,-48.91355,-25.337227
"141",612,-52.201347,-28.461748
"142",652,-49.2576,-26.1955
"143",665,-49.236958,-26.225197
"144",668,-48.572556,-24.418833
"145",672,-51.494564,-26.814468
"146",673,-49.058475,-25.56622
"147",674,-45.63298,-22.74385
"148",675,-51.74649,-26.146784
"149",676,-53.959457,-25.859821
"150",681,-54.558464,-25.842625
"151",687,-52.845478,-26.318752
"152",730,-50.346844,-27.790737
