"","name","longitude","latitude"
"1","Leptasthenura setaria",-51.807888,-25.105652
"2","Leptasthenura setaria",-49.197235,-24.31316
"3","Leptasthenura setaria",-51.171535,-27.563196
"4","Leptasthenura setaria",-49.38658,-28.04365
"5","Leptasthenura setaria",-51.728344,-28.197609
"6","Leptasthenura setaria",-45.642,-22.6797
"7","Leptasthenura setaria",-50.21143,-25.561188
"8","Leptasthenura setaria",-52.198215,-25.482353
"9","Leptasthenura setaria",-49.87824,-28.132587
"10","Leptasthenura setaria",-50.701153,-24.320175
"11","Leptasthenura setaria",-54.12498,-26.637999
"12","Leptasthenura setaria",-52.315624,-24.102978
"13","Leptasthenura setaria",-54.162315,-27.043718
"14","Leptasthenura setaria",-50.46068,-28.173134
"15","Leptasthenura setaria",-50.290108,-26.233564
"16","Leptasthenura setaria",-45.20191,-23.296982
"17","Leptasthenura setaria",-49.950207,-27.791883
"18","Leptasthenura setaria",-49.89256,-26.173517
"19","Leptasthenura setaria",-50.60438,-25.419828
"20","Leptasthenura setaria",-52.406116,-26.390871
"21","Leptasthenura setaria",-51.08037,-29.518175
"22","Leptasthenura setaria",-44.76176,-22.77325
"23","Leptasthenura setaria",-49.66119,-26.566065
"24","Leptasthenura setaria",-52.63026,-29.328028
"25","Leptasthenura setaria",-50.61302,-29.353014
"26","Leptasthenura setaria",-51.90481,-28.223793
"27","Leptasthenura setaria",-51.147106,-29.304724
"28","Leptasthenura setaria",-50.225834,-27.559206
"29","Leptasthenura setaria",-54.79793,-26.728085
"30","Leptasthenura setaria",-47.08703,-23.792742
"31","Leptasthenura setaria",-50.34635,-25.655779
"32","Leptasthenura setaria",-51.49459,-26.637802
"33","Leptasthenura setaria",-50.067017,-25.89588
"34","Leptasthenura setaria",-52.568893,-26.462187
"35","Leptasthenura setaria",-50.37838,-27.086054
"36","Leptasthenura setaria",-50.634724,-26.023104
"37","Leptasthenura setaria",-44.6149,-22.736116
"38","Leptasthenura setaria",-44.282085,-22.170887
"39","Leptasthenura setaria",-52.198505,-28.474836
"40","Leptasthenura setaria",-48.572556,-24.418833
"41","Leptasthenura setaria",-51.494564,-26.814468
"42","Leptasthenura setaria",-49.058475,-25.56622
"43","Leptasthenura setaria",-51.74649,-26.146784
"44","Leptasthenura setaria",-52.845478,-26.318752
"45","Leptasthenura setaria",-53.97773,-25.860962
"46","Leptasthenura setaria",-45.59196,-22.917181
"47","Leptasthenura setaria",-52.082188,-26.340471
"48","Leptasthenura setaria",-44.965954,-23.078444
"49","Leptasthenura setaria",-49.013687,-27.716604
"50","Leptasthenura setaria",-51.879272,-28.854403
"51","Leptasthenura setaria",-50.26831,-25.888823
"52","Leptasthenura setaria",-49.54776,-28.001665
"53","Leptasthenura setaria",-51.537373,-29.2342
"54","Leptasthenura setaria",-51.057735,-29.053007
"55","Leptasthenura setaria",-45.89917,-22.691177
"56","Leptasthenura setaria",-50.50478,-29.553997
"57","Leptasthenura setaria",-47.887055,-24.105207
"58","Leptasthenura setaria",-51.172077,-26.070435
"59","Leptasthenura setaria",-50.280952,-29.57888
"60","Leptasthenura setaria",-53.74101,-26.059065
"61","Leptasthenura setaria",-50.927074,-27.017185
"62","Leptasthenura setaria",-52.29488,-26.05748
"63","Leptasthenura setaria",-50.325256,-26.094849
"64","Leptasthenura setaria",-50.136787,-24.86316
"65","Leptasthenura setaria",-50.103005,-25.137753
"66","Leptasthenura setaria",-44.724354,-22.201498
"67","Leptasthenura setaria",-54.69151,-26.411085
"68","Leptasthenura setaria",-50.746914,-27.395897
"69","Leptasthenura setaria",-49.911774,-24.542648
"70","Leptasthenura setaria",-51.197956,-29.163134
"71","Leptasthenura setaria",-46.9523,-23.8533
"72","Leptasthenura setaria",-48.846786,-24.247593
"73","Leptasthenura setaria",-52.021885,-26.216728
"74","Leptasthenura setaria",-49.383305,-26.2437
"75","Leptasthenura setaria",-52.18839,-28.293867
"76","Leptasthenura setaria",-54.778744,-26.558989
"77","Leptasthenura setaria",-49.015583,-25.384964
"78","Leptasthenura setaria",-48.88062,-25.254845
"79","Leptasthenura setaria",-51.934807,-29.357698
"80","Leptasthenura setaria",-48.583714,-24.604586
"81","Leptasthenura setaria",-53.0045,-28.082994
"82","Leptasthenura setaria",-50.70394,-24.784748
"83","Leptasthenura setaria",-50.552708,-24.350082
"84","Leptasthenura setaria",-50.675346,-25.576103
"85","Leptasthenura setaria",-51.89563,-26.1069
"86","Leptasthenura setaria",-49.06831,-25.176397
"87","Leptasthenura setaria",-50.42228,-24.938137
"88","Leptasthenura setaria",-50.090984,-24.465302
"89","Leptasthenura setaria",-49.4043,-27.0845
"90","Leptasthenura setaria",-49.6739,-25.578392
"91","Leptasthenura setaria",-52.20088,-26.489967
"92","Leptasthenura setaria",-52.42051,-29.345915
"93","Leptasthenura setaria",-50.926086,-29.545464
"94","Leptasthenura setaria",-49.746864,-24.535812
"95","Leptasthenura setaria",-46.65146,-22.56811
"96","Leptasthenura setaria",-49.633396,-24.653044
"97","Leptasthenura setaria",-49.578323,-24.306526
"98","Leptasthenura setaria",-51.04961,-26.279545
"99","Leptasthenura setaria",-49.13492,-26.083658
"100","Leptasthenura setaria",-44.501472,-22.189941
"101","Leptasthenura setaria",-45.02109,-23.233702
"102","Leptasthenura setaria",-50.566433,-25.030632
"103","Leptasthenura setaria",-54.896687,-26.838413
"104","Leptasthenura setaria",-51.764473,-24.754688
"105","Leptasthenura setaria",-50.414646,-25.081696
"106","Leptasthenura setaria",-51.42362,-25.39462
"107","Leptasthenura setaria",-50.197514,-28.267675
"108","Leptasthenura setaria",-45.77882,-22.354553
"109","Leptasthenura setaria",-51.013065,-26.780613
"110","Leptasthenura setaria",-50.537872,-28.007355
"111","Leptasthenura setaria",-48.992367,-26.02303
"112","Leptasthenura setaria",-51.59345,-25.897413
"113","Leptasthenura setaria",-49.32597,-25.307514
"114","Leptasthenura setaria",-50.59714,-28.68895
"115","Leptasthenura setaria",-54.217094,-26.860249
"116","Leptasthenura setaria",-49.2226,-25.525225
"117","Leptasthenura setaria",-53.259636,-26.357958
"118","Leptasthenura setaria",-50.39358,-29.432007
"119","Leptasthenura setaria",-45.17183,-22.332663
"120","Leptasthenura setaria",-50.697536,-28.465336
"121","Leptasthenura setaria",-49.57239,-24.455084
"122","Leptasthenura setaria",-49.535435,-26.297514
"123","Leptasthenura setaria",-51.169632,-28.232058
"124","Leptasthenura setaria",-53.128277,-26.490799
"125","Leptasthenura setaria",-48.27367,-24.308775
"126","Leptasthenura setaria",-52.26803,-27.648846
"127","Leptasthenura setaria",-44.82129,-23.153181
"128","Leptasthenura setaria",-55.312122,-27.101294
"129","Leptasthenura setaria",-50.94153,-23.743425
"130","Leptasthenura setaria",-49.68275,-24.833866
"131","Leptasthenura setaria",-54.427998,-25.721087
"132","Leptasthenura setaria",-52.410183,-26.573074
"133","Leptasthenura setaria",-49.6788,-27.1459
"134","Leptasthenura setaria",-50.96731,-25.58015
"135","Leptasthenura setaria",-50.84368,-29.26912
"136","Leptasthenura setaria",-52.540314,-28.066658
"137","Leptasthenura setaria",-50.265625,-24.5707
"138","Leptasthenura setaria",-52.907185,-28.483604
"139","Leptasthenura setaria",-49.64758,-25.432247
"140","Leptasthenura setaria",-52.93703,-28.62312
"141","Leptasthenura setaria",-52.018353,-26.873066
"142","Leptasthenura setaria",-47.01229,-24.36598
"143","Leptasthenura setaria",-49.362865,-25.643032
"144","Leptasthenura setaria",-49.3099,-26.002266
"145","Leptasthenura setaria",-54.048615,-25.69042
