name,longitude,latitude
Leptasthenura setaria,-49.848503,-27.924017
Leptasthenura setaria,-49.645866,-28.097593
Leptasthenura setaria,-51.807888,-25.105652
Leptasthenura setaria,-51.20123,-27.551168
Leptasthenura setaria,-48.811634,-25.099901
Leptasthenura setaria,-52.198215,-25.482353
Leptasthenura setaria,-54.12498,-26.637999
Leptasthenura setaria,-51.55852,-29.272572
Leptasthenura setaria,-44.59375,-22.665842
Leptasthenura setaria,-52.1733,-25.940033
Leptasthenura setaria,-49.89256,-26.173517
Leptasthenura setaria,-51.08037,-29.518175
Leptasthenura setaria,-55.051765,-27.477352
Leptasthenura setaria,-49.152214,-27.671846
Leptasthenura setaria,-52.63026,-29.328028
Leptasthenura setaria,-50.399124,-24.956633
Leptasthenura setaria,-51.90481,-28.223793
Leptasthenura setaria,-50.217205,-27.553482
Leptasthenura setaria,-47.08703,-23.792742
Leptasthenura setaria,-50.067017,-25.89588
Leptasthenura setaria,-51.46792,-25.445791
Leptasthenura setaria,-50.332558,-27.059687
Leptasthenura setaria,-44.282085,-22.170887
Leptasthenura setaria,-49.236958,-26.225197
Leptasthenura setaria,-52.845478,-26.318752
Leptasthenura setaria,-49.147217,-24.2993
Leptasthenura setaria,-50.346844,-27.790737
Leptasthenura setaria,-51.096577,-26.224516
Leptasthenura setaria,-45.59196,-22.917181
Leptasthenura setaria,-51.743744,-26.1535
Leptasthenura setaria,-51.879272,-28.854403
Leptasthenura setaria,-47.001114,-23.579636
Leptasthenura setaria,-53.74101,-26.059065
Leptasthenura setaria,-54.090076,-26.954567
Leptasthenura setaria,-49.27763,-25.391382
Leptasthenura setaria,-50.136787,-24.86316
Leptasthenura setaria,-48.410725,-24.21524
Leptasthenura setaria,-50.63499,-26.022701
Leptasthenura setaria,-51.186714,-29.152376
Leptasthenura setaria,-50.875195,-27.497814
Leptasthenura setaria,-52.149517,-29.017445
Leptasthenura setaria,-48.846786,-24.247593
Leptasthenura setaria,-54.778744,-26.558989
Leptasthenura setaria,-52.32392,-29.280106
Leptasthenura setaria,-50.937798,-23.74018
Leptasthenura setaria,-51.934807,-29.357698
Leptasthenura setaria,-48.583714,-24.604586
Leptasthenura setaria,-53.0045,-28.082994
Leptasthenura setaria,-50.385002,-25.866535
Leptasthenura setaria,-50.70394,-24.784748
Leptasthenura setaria,-49.55079,-25.339333
Leptasthenura setaria,-50.675346,-25.576103
Leptasthenura setaria,-48.834633,-24.51615
Leptasthenura setaria,-49.4043,-27.0845
Leptasthenura setaria,-49.652782,-28.394634
Leptasthenura setaria,-49.87014,-28.229565
Leptasthenura setaria,-52.120464,-26.37905
Leptasthenura setaria,-52.3171,-24.1029
Leptasthenura setaria,-46.65146,-22.56811
Leptasthenura setaria,-49.719658,-24.26133
Leptasthenura setaria,-50.0788,-29.158236
Leptasthenura setaria,-45.042717,-22.433458
Leptasthenura setaria,-54.9255,-26.8546
Leptasthenura setaria,-51.764473,-24.754688
Leptasthenura setaria,-51.524666,-28.966455
Leptasthenura setaria,-49.86852,-28.518099
Leptasthenura setaria,-50.687744,-25.038132
Leptasthenura setaria,-45.77882,-22.354553
Leptasthenura setaria,-51.013065,-26.780613
Leptasthenura setaria,-50.537872,-28.007355
Leptasthenura setaria,-50.332767,-25.603874
Leptasthenura setaria,-48.992367,-26.02303
Leptasthenura setaria,-51.59345,-25.897413
Leptasthenura setaria,-50.59714,-28.68895
Leptasthenura setaria,-51.741592,-26.579546
Leptasthenura setaria,-51.43082,-26.74302
Leptasthenura setaria,-50.697536,-28.465336
Leptasthenura setaria,-52.26441,-27.634418
Leptasthenura setaria,-51.169632,-28.232058
Leptasthenura setaria,-53.128277,-26.490799
Leptasthenura setaria,-44.679085,-22.111253
Leptasthenura setaria,-53.888733,-26.730669
Leptasthenura setaria,-55.312122,-27.101294
Leptasthenura setaria,-49.68275,-24.833866
Leptasthenura setaria,-49.6788,-27.1459
Leptasthenura setaria,-50.96731,-25.58015
Leptasthenura setaria,-47.993736,-24.055788
Leptasthenura setaria,-52.540314,-28.066658
Leptasthenura setaria,-50.265625,-24.5707
Leptasthenura setaria,-49.62364,-25.584784
Leptasthenura setaria,-52.986256,-28.371372
Leptasthenura setaria,-52.93703,-28.62312
Leptasthenura setaria,-47.01229,-24.36598
Leptasthenura setaria,-49.362865,-25.643032
Leptasthenura setaria,-49.3099,-26.002266
Leptasthenura setaria,-45.365658,-22.316607
Leptasthenura setaria,-49.857903,-25.252615
Leptasthenura setaria,-50.33542,-29.585787
Leptasthenura setaria,-54.320526,-25.790308
Leptasthenura setaria,-51.13433,-28.819855
Leptasthenura setaria,-50.462162,-25.37866
Leptasthenura setaria,-51.43,-28.11
Leptasthenura setaria,-45.163914,-23.319735
Leptasthenura setaria,-50.798546,-28.972538
Leptasthenura setaria,-52.550396,-28.499245
Leptasthenura setaria,-50.8524,-29.3226
Leptasthenura setaria,-45.490707,-22.693548
Leptasthenura setaria,-51.471333,-28.617529
Leptasthenura setaria,-49.10351,-25.733765
Leptasthenura setaria,-49.55209,-24.466467
Leptasthenura setaria,-45.28303,-22.55798
Leptasthenura setaria,-52.7692,-27.111547
Leptasthenura setaria,-50.88894,-26.055843
Leptasthenura setaria,-52.57786,-26.465502
Leptasthenura setaria,-51.512608,-27.61649
Leptasthenura setaria,-52.4643,-28.887764
Leptasthenura setaria,-50.02041,-24.465204
Leptasthenura setaria,-54.019135,-27.224537
Leptasthenura setaria,-49.88344,-25.549421
Leptasthenura setaria,-44.8315,-23.151302
Leptasthenura setaria,-52.81737,-27.913536
Leptasthenura setaria,-47.92322,-25.003515
Leptasthenura setaria,-53.49812,-27.61107
Leptasthenura setaria,-45.86388,-22.660938
Leptasthenura setaria,-49.53263,-26.299032
