name,longitude,latitude
Leptasthenura setaria,-52.27403,-29.39975
Leptasthenura setaria,-51.807888,-25.105652
Leptasthenura setaria,-49.197235,-24.31316
Leptasthenura setaria,-51.13441,-28.81961
Leptasthenura setaria,-52.198215,-25.482353
Leptasthenura setaria,-50.701153,-24.320175
Leptasthenura setaria,-51.202457,-29.132784
Leptasthenura setaria,-49.286522,-25.27291
Leptasthenura setaria,-50.46068,-28.173134
Leptasthenura setaria,-50.290108,-26.233564
Leptasthenura setaria,-52.1733,-25.940033
Leptasthenura setaria,-49.89256,-26.173517
Leptasthenura setaria,-51.08037,-29.518175
Leptasthenura setaria,-44.76176,-22.77325
Leptasthenura setaria,-50.228325,-27.571234
Leptasthenura setaria,-49.66119,-26.566065
Leptasthenura setaria,-52.63026,-29.328028
Leptasthenura setaria,-51.90481,-28.223793
Leptasthenura setaria,-54.79793,-26.728085
Leptasthenura setaria,-44.839886,-23.167177
Leptasthenura setaria,-51.49459,-26.637802
Leptasthenura setaria,-50.067017,-25.89588
Leptasthenura setaria,-52.568893,-26.462187
Leptasthenura setaria,-51.46792,-25.445791
Leptasthenura setaria,-44.79502,-22.352066
Leptasthenura setaria,-50.767063,-24.884167
Leptasthenura setaria,-50.332558,-27.059687
Leptasthenura setaria,-44.282085,-22.170887
Leptasthenura setaria,-47.001102,-23.579622
Leptasthenura setaria,-49.236958,-26.225197
Leptasthenura setaria,-52.845478,-26.318752
Leptasthenura setaria,-52.20237,-28.478035
Leptasthenura setaria,-49.094692,-27.670708
Leptasthenura setaria,-51.743744,-26.1535
Leptasthenura setaria,-51.879272,-28.854403
Leptasthenura setaria,-45.290146,-22.594315
Leptasthenura setaria,-51.851185,-26.524498
Leptasthenura setaria,-45.138645,-23.36312
Leptasthenura setaria,-51.54262,-27.026136
Leptasthenura setaria,-47.887055,-24.105207
Leptasthenura setaria,-50.927074,-27.017185
Leptasthenura setaria,-50.103005,-25.137753
Leptasthenura setaria,-50.746914,-27.395897
Leptasthenura setaria,-50.65501,-26.014704
Leptasthenura setaria,-51.1798,-26.078335
Leptasthenura setaria,-49.158604,-25.654753
Leptasthenura setaria,-48.846786,-24.247593
Leptasthenura setaria,-45.367912,-22.320774
Leptasthenura setaria,-51.934807,-29.357698
Leptasthenura setaria,-48.583714,-24.604586
Leptasthenura setaria,-49.610096,-24.361044
Leptasthenura setaria,-49.4043,-27.0845
Leptasthenura setaria,-52.120464,-26.37905
Leptasthenura setaria,-52.3171,-24.1029
Leptasthenura setaria,-46.65146,-22.56811
Leptasthenura setaria,-49.633396,-24.653044
Leptasthenura setaria,-50.361366,-27.861319
Leptasthenura setaria,-50.39872,-24.9565
Leptasthenura setaria,-52.494064,-28.932919
Leptasthenura setaria,-51.764473,-24.754688
Leptasthenura setaria,-49.539238,-25.534931
Leptasthenura setaria,-45.77882,-22.354553
Leptasthenura setaria,-50.32544,-25.624239
Leptasthenura setaria,-49.723568,-25.75573
Leptasthenura setaria,-48.992367,-26.02303
Leptasthenura setaria,-51.59902,-25.907717
Leptasthenura setaria,-50.6105,-28.694208
Leptasthenura setaria,-50.16527,-28.25083
Leptasthenura setaria,-43.065884,-22.48801
Leptasthenura setaria,-49.535435,-26.297514
Leptasthenura setaria,-52.27481,-27.624226
Leptasthenura setaria,-53.128277,-26.490799
Leptasthenura setaria,-51.27458,-28.556381
Leptasthenura setaria,-55.312122,-27.101294
Leptasthenura setaria,-50.90627,-23.750467
Leptasthenura setaria,-50.96731,-25.58015
Leptasthenura setaria,-54.076794,-26.72175
Leptasthenura setaria,-45.594456,-22.728975
Leptasthenura setaria,-46.31378,-22.884146
Leptasthenura setaria,-47.01229,-24.36598
Leptasthenura setaria,-54.048615,-25.69042
Leptasthenura setaria,-50.406834,-24.534517
Leptasthenura setaria,-51.43,-28.11
Leptasthenura setaria,-52.14829,-29.018476
Leptasthenura setaria,-50.798546,-28.972538
Leptasthenura setaria,-50.36505,-29.09228
Leptasthenura setaria,-50.8524,-29.3226
Leptasthenura setaria,-54.610462,-26.409399
Leptasthenura setaria,-48.273624,-24.308775
Leptasthenura setaria,-52.7692,-27.111547
Leptasthenura setaria,-52.25268,-26.655283
Leptasthenura setaria,-51.512608,-27.61649
Leptasthenura setaria,-52.74501,-28.619326
Leptasthenura setaria,-51.53666,-29.234924
Leptasthenura setaria,-50.02041,-24.465204
Leptasthenura setaria,-54.019135,-27.224537
Leptasthenura setaria,-52.598488,-28.310827
Leptasthenura setaria,-48.8034,-25.0834
Leptasthenura setaria,-52.371857,-27.97055
Leptasthenura setaria,-50.65094,-25.470922
Leptasthenura setaria,-49.464096,-25.91621
Leptasthenura setaria,-47.92322,-25.003515
Leptasthenura setaria,-45.866096,-22.88612
Leptasthenura setaria,-53.49812,-27.61107
Leptasthenura setaria,-46.556583,-21.77572
Leptasthenura setaria,-53.227688,-29.08431
Leptasthenura setaria,-52.962746,-28.392403
Leptasthenura setaria,-50.24854,-29.862524
Leptasthenura setaria,-54.616547,-26.015036
Leptasthenura setaria,-51.201263,-27.597025
Leptasthenura setaria,-49.732834,-27.221558
Leptasthenura setaria,-49.871613,-28.515089
Leptasthenura setaria,-50.570484,-29.457327
Leptasthenura setaria,-49.225,-27.9209
Leptasthenura setaria,-51.581657,-28.953867
Leptasthenura setaria,-51.166527,-23.953478
Leptasthenura setaria,-52.87486,-28.079023
Leptasthenura setaria,-52.147552,-24.70442
Leptasthenura setaria,-48.86217,-27.885445
Leptasthenura setaria,-44.64408,-22.08323
Leptasthenura setaria,-46.333496,-23.408062
Leptasthenura setaria,-49.94238,-27.92881
Leptasthenura setaria,-49.641666,-28.153055
Leptasthenura setaria,-54.22518,-26.42669
Leptasthenura setaria,-47.15315,-23.937075
Leptasthenura setaria,-49.34983,-26.653128
Leptasthenura setaria,-49.53122,-25.042597
Leptasthenura setaria,-48.97737,-25.31474
Leptasthenura setaria,-49.997406,-29.077776
Leptasthenura setaria,-50.333435,-28.485868
Leptasthenura setaria,-50.833138,-27.998343
Leptasthenura setaria,-50.674183,-28.388908
Leptasthenura setaria,-54.75953,-27.072214
Leptasthenura setaria,-51.41209,-23.528028
Leptasthenura setaria,-54.456394,-25.65383
Leptasthenura setaria,-44.3933,-22.7968
Leptasthenura setaria,-51.8189,-26.7987
Leptasthenura setaria,-46.71818,-23.881052
Leptasthenura setaria,-54.435833,-26.925167
Leptasthenura setaria,-49.83472,-25.289722
Leptasthenura setaria,-44.43802,-22.448647
Leptasthenura setaria,-53.6753,-26.276722
Leptasthenura setaria,-49.58,-27.83
Leptasthenura setaria,-51.30342,-26.421843
Leptasthenura setaria,-53.9,-25.9833
Leptasthenura setaria,-53.891762,-26.472295
Leptasthenura setaria,-55.0056301327,-27.5432067619
Leptasthenura setaria,-51.819558413,-27.1685748715
Leptasthenura setaria,-50.0987155197,-29.4861841373
Leptasthenura setaria,-53.3463429826,-26.2469637654
Leptasthenura setaria,-48.3400001525879,-24
