name,longitude,latitude
Leptasthenura setaria,-51.137276,-28.816475
Leptasthenura setaria,-52.27403,-29.39975
Leptasthenura setaria,-51.807888,-25.105652
Leptasthenura setaria,-51.597378,-25.91816
Leptasthenura setaria,-53.788525,-26.015228
Leptasthenura setaria,-50.078945,-29.159657
Leptasthenura setaria,-52.198215,-25.482353
Leptasthenura setaria,-50.701153,-24.320175
Leptasthenura setaria,-50.46068,-28.173134
Leptasthenura setaria,-50.290108,-26.233564
Leptasthenura setaria,-49.89256,-26.173517
Leptasthenura setaria,-50.59576,-25.424393
Leptasthenura setaria,-44.76176,-22.77325
Leptasthenura setaria,-52.63026,-29.328028
Leptasthenura setaria,-51.90481,-28.223793
Leptasthenura setaria,-50.217205,-27.553482
Leptasthenura setaria,-54.79793,-26.728085
Leptasthenura setaria,-51.49459,-26.637802
Leptasthenura setaria,-54.853867,-27.030209
Leptasthenura setaria,-50.635113,-26.022093
Leptasthenura setaria,-50.332558,-27.059687
Leptasthenura setaria,-44.282085,-22.170887
Leptasthenura setaria,-52.845478,-26.318752
Leptasthenura setaria,-49.147217,-24.2993
Leptasthenura setaria,-52.082188,-26.340471
Leptasthenura setaria,-50.087643,-24.479649
Leptasthenura setaria,-51.879272,-28.854403
Leptasthenura setaria,-50.26831,-25.888823
Leptasthenura setaria,-51.537373,-29.2342
Leptasthenura setaria,-51.153736,-29.144
Leptasthenura setaria,-51.54262,-27.026136
Leptasthenura setaria,-47.001114,-23.579636
Leptasthenura setaria,-47.887055,-24.105207
Leptasthenura setaria,-50.103005,-25.137753
Leptasthenura setaria,-50.733116,-27.421259
Leptasthenura setaria,-50.321915,-25.610239
Leptasthenura setaria,-48.846786,-24.247593
Leptasthenura setaria,-52.171272,-28.38431
Leptasthenura setaria,-54.168785,-25.857317
Leptasthenura setaria,-51.934807,-29.357698
Leptasthenura setaria,-48.583714,-24.604586
Leptasthenura setaria,-46.71906,-23.841234
Leptasthenura setaria,-50.68534,-25.053677
Leptasthenura setaria,-52.81526,-27.913567
Leptasthenura setaria,-49.4043,-27.0845
Leptasthenura setaria,-52.3171,-24.1029
Leptasthenura setaria,-46.65146,-22.56811
Leptasthenura setaria,-49.633396,-24.653044
Leptasthenura setaria,-49.578323,-24.306526
Leptasthenura setaria,-50.361366,-27.861319
Leptasthenura setaria,-50.39872,-24.9565
Leptasthenura setaria,-52.494064,-28.932919
Leptasthenura setaria,-51.42362,-25.39462
Leptasthenura setaria,-49.539238,-25.534931
Leptasthenura setaria,-49.86852,-28.518099
Leptasthenura setaria,-45.77882,-22.354553
Leptasthenura setaria,-51.84624,-26.106289
Leptasthenura setaria,-49.723568,-25.75573
Leptasthenura setaria,-48.992367,-26.02303
Leptasthenura setaria,-50.59714,-28.68895
Leptasthenura setaria,-50.16527,-28.25083
Leptasthenura setaria,-43.065884,-22.48801
Leptasthenura setaria,-49.535435,-26.297514
Leptasthenura setaria,-51.169632,-28.232058
Leptasthenura setaria,-52.27481,-27.624226
Leptasthenura setaria,-53.128277,-26.490799
Leptasthenura setaria,-51.27458,-28.556381
Leptasthenura setaria,-50.948097,-29.585892
Leptasthenura setaria,-55.312122,-27.101294
Leptasthenura setaria,-45.89027,-22.694643
Leptasthenura setaria,-50.94153,-23.743425
Leptasthenura setaria,-44.810555,-23.15052
Leptasthenura setaria,-50.96731,-25.58015
Leptasthenura setaria,-50.84368,-29.26912
Leptasthenura setaria,-52.986256,-28.371372
Leptasthenura setaria,-54.141945,-27.01639
Leptasthenura setaria,-51.990677,-26.799477
Leptasthenura setaria,-47.01229,-24.36598
Leptasthenura setaria,-45.365658,-22.316607
Leptasthenura setaria,-53.79134,-26.556955
Leptasthenura setaria,-50.406834,-24.534517
Leptasthenura setaria,-49.238605,-26.228315
Leptasthenura setaria,-52.14829,-29.018476
Leptasthenura setaria,-52.432858,-28.081064
Leptasthenura setaria,-50.798546,-28.972538
Leptasthenura setaria,-45.581028,-22.716742
Leptasthenura setaria,-50.55099,-29.467625
Leptasthenura setaria,-49.9387,-27.9528
Leptasthenura setaria,-54.610462,-26.409399
Leptasthenura setaria,-48.273624,-24.308775
Leptasthenura setaria,-52.7692,-27.111547
Leptasthenura setaria,-52.25268,-26.655283
Leptasthenura setaria,-52.57786,-26.465502
Leptasthenura setaria,-51.512608,-27.61649
Leptasthenura setaria,-51.77953,-26.513437
Leptasthenura setaria,-49.297077,-25.359278
Leptasthenura setaria,-52.18947,-25.939632
Leptasthenura setaria,-52.598488,-28.310827
Leptasthenura setaria,-47.92322,-25.003515
Leptasthenura setaria,-53.49812,-27.61107
Leptasthenura setaria,-51.100246,-27.012028
Leptasthenura setaria,-46.556583,-21.77572
Leptasthenura setaria,-44.48,-22.867
Leptasthenura setaria,-53.227688,-29.08431
Leptasthenura setaria,-50.24854,-29.862524
Leptasthenura setaria,-54.616547,-26.015036
Leptasthenura setaria,-52.66981,-28.609678
Leptasthenura setaria,-49.05715,-25.592745
Leptasthenura setaria,-49.732834,-27.221558
Leptasthenura setaria,-48.82894,-25.079151
Leptasthenura setaria,-49.46313,-25.918102
Leptasthenura setaria,-44.795895,-22.352528
Leptasthenura setaria,-50.21293,-29.486155
Leptasthenura setaria,-51.601036,-24.546171
Leptasthenura setaria,-49.225,-27.9209
Leptasthenura setaria,-51.581657,-28.953867
Leptasthenura setaria,-51.166527,-23.953478
Leptasthenura setaria,-51.321922,-26.047548
Leptasthenura setaria,-52.147552,-24.70442
Leptasthenura setaria,-48.86217,-27.885445
Leptasthenura setaria,-44.64408,-22.08323
Leptasthenura setaria,-46.333496,-23.408062
Leptasthenura setaria,-49.2921,-27.475
Leptasthenura setaria,-54.22518,-26.42669
Leptasthenura setaria,-47.15315,-23.937075
Leptasthenura setaria,-49.53122,-25.042597
Leptasthenura setaria,-49.690453,-26.698889
Leptasthenura setaria,-48.97737,-25.31474
Leptasthenura setaria,-50.29013,-28.64616
Leptasthenura setaria,-50.833138,-27.998343
Leptasthenura setaria,-45.104885,-23.354864
Leptasthenura setaria,-50.7265,-28.382704
Leptasthenura setaria,-51.41209,-23.528028
Leptasthenura setaria,-54.570957,-25.59842
Leptasthenura setaria,-50.418335,-29.082222
Leptasthenura setaria,-49.31054,-26.58409
Leptasthenura setaria,-49.570534,-27.87049
Leptasthenura setaria,-51.182076,-27.568079
Leptasthenura setaria,-54.435833,-26.925167
Leptasthenura setaria,-45.08525,-22.486725
Leptasthenura setaria,-44.43802,-22.448647
Leptasthenura setaria,-53.6753,-26.276722
Leptasthenura setaria,-51.30342,-26.421843
Leptasthenura setaria,-54.0767938639,-26.7217504309
Leptasthenura setaria,-55.0056301327,-27.5432067619
Leptasthenura setaria,-51.819558413,-27.1685748715
Leptasthenura setaria,-53.3463429826,-26.2469637654
Leptasthenura setaria,-49.5906454138,-28.1805539056
Leptasthenura setaria,-50.0064010620117,-25.4293994903564
Leptasthenura setaria,-48.3400001525879,-24
Leptasthenura setaria,-46.3182983398438,-22.854700088501
